-25,0,59
-25,0,59
-25,0,59
-26,0,58
-26,0,58
-26,0,58
-26,0,58
-27,0,58
-27,0,58
-27,0,58
-27,0,58
-26,0,58
-26,0,58
-25,0,59
-25,0,59
-25,0,59
-24,0,59
-25,0,59
-26,0,59
-26,0,58
-27,0,58
-26,0,58
-26,0,58
-26,0,58
-26,0,58
-27,0,58
-27,0,58
-26,0,58
-26,0,58
-26,0,58
-26,0,58
-26,-1,58
-27,0,58
-27,0,58
-27,0,58
-27,0,58
-27,1,58
-26,1,59
-25,0,59
-25,0,59
-26,-1,58
-26,0,58
-26,1,59
-27,1,58
-27,0,58
-27,0,58
-27,0,58
-27,0,58
-27,0,58
-26,0,58
-26,0,58
-27,0,58
-27,0,58
-28,0,58
-28,0,57
-28,0,57
-28,0,58
-28,0,58
-27,0,58
-27,0,58
-27,0,58
-27,0,58
-27,0,58
-27,0,58
-27,0,58
-26,0,58
-27,0,58
-28,0,58
-27,0,58
-27,0,58
-27,0,58
-27,0,58
-27,0,58
-27,0,58
-27,0,58
-27,0,58
-27,0,58
-27,0,58
-27,0,58
-27,0,58
-27,0,58
-27,0,58
-27,0,58
-27,0,58
-27,0,58
-27,0,58
-27,0,58
-27,0,58
-27,0,58
-27,0,58
-26,0,58
-26,0,58
-26,0,58
-26,0,58
-26,0,58
-26,0,58
-27,0,58
-27,0,58
-27,0,58
-26,0,58
-26,1,58
-27,0,58
-26,0,58
-26,0,59
-26,1,58
-27,0,58
-26,0,58
-27,1,58
-27,0,58
-26,0,59
-26,0,58
-27,0,58
-26,0,58
-27,0,58
-27,0,58
-26,0,58
-27,0,58
-27,0,58
-27,0,58
-26,0,58
-26,0,58
-26,0,58
-26,0,58
-26,0,58
-27,0,58
-27,0,58
-26,0,58
-26,0,58
-26,0,58
-26,0,58
-26,0,58
-26,0,58
-26,0,58
-26,0,58
-26,0,58
-27,0,58
-26,0,58
-26,0,58
-26,0,58
-26,0,58
-26,0,58
-26,0,58
-26,0,58
-26,0,59
-26,0,59
-27,0,58
-26,0,58
-26,0,59
-26,0,58
-26,0,58
-26,0,58
-26,0,58
-26,0,58
-26,0,58
-26,0,58
-26,0,58
