Apr. 30, 2021   18:39:33
Amperometric i-t Curve
File: d:\research\projects\2020 inkjet multimodal sensors\on-body data\20210430 trial of 2 glucose on-body_success but noisy_press sensor next time\02_sweat stability_on body 2500s juice intake.txt
Data Source:  Experiment
Instrument Model:  CHI832D
Header: 
Note: 

Init E (V) = -0.04
Sample Interval (s) = 1
Run Time (sec) = 9.6e+4
Quiet Time (sec) = 0
Sensitivity (A/V) = 1e-7

4.230e+2, -8.142e-8, -7.380e-8
4.240e+2, -8.261e-8, -7.835e-8
4.250e+2, -7.231e-8, -8.149e-8
4.260e+2, -6.270e-8, -7.603e-8
4.270e+2, -7.322e-8, -8.520e-8
4.280e+2, -5.287e-8, -7.967e-8
4.290e+2, -6.960e-8, -7.857e-8
4.300e+2, -6.684e-8, -7.708e-8
4.310e+2, -6.902e-8, -7.869e-8
4.320e+2, -7.008e-8, -7.844e-8
4.330e+2, -6.961e-8, -7.894e-8
4.340e+2, -6.885e-8, -7.915e-8
4.350e+2, -7.029e-8, -8.082e-8
4.360e+2, -7.161e-8, -8.033e-8
4.370e+2, -7.351e-8, -8.010e-8
4.380e+2, -6.926e-8, -8.208e-8
4.390e+2, -6.911e-8, -8.102e-8
4.400e+2, -7.258e-8, -8.142e-8
4.410e+2, -7.017e-8, -8.085e-8
4.420e+2, -7.090e-8, -8.085e-8
4.430e+2, -7.079e-8, -8.124e-8
4.440e+2, -7.146e-8, -8.117e-8
4.450e+2, -7.070e-8, -7.997e-8
4.460e+2, -7.308e-8, -8.204e-8
4.470e+2, -7.178e-8, -8.217e-8
4.480e+2, -7.177e-8, -8.262e-8
4.490e+2, -7.228e-8, -8.410e-8
4.500e+2, -7.187e-8, -8.350e-8
4.510e+2, -7.282e-8, -8.338e-8
4.520e+2, -7.132e-8, -8.248e-8
4.530e+2, -7.181e-8, -8.285e-8
4.540e+2, -7.431e-8, -8.485e-8
4.550e+2, -7.173e-8, -8.431e-8
4.560e+2, -7.312e-8, -8.440e-8
4.570e+2, -7.309e-8, -8.407e-8
4.580e+2, -7.194e-8, -8.419e-8
4.590e+2, -7.251e-8, -8.380e-8
4.600e+2, -7.421e-8, -8.441e-8
4.610e+2, -7.174e-8, -8.387e-8
4.620e+2, -7.192e-8, -8.299e-8
4.630e+2, -7.299e-8, -8.405e-8
4.640e+2, -7.788e-8, -8.547e-8
4.650e+2, -7.130e-8, -8.483e-8
4.660e+2, -7.544e-8, -8.687e-8
4.670e+2, -7.656e-8, -8.753e-8
4.680e+2, -7.629e-8, -8.831e-8
4.690e+2, -7.683e-8, -8.813e-8
4.700e+2, -7.676e-8, -8.912e-8
4.710e+2, -7.250e-8, -9.096e-8
4.720e+2, -7.330e-8, -8.913e-8
4.730e+2, -7.673e-8, -8.776e-8
4.740e+2, -7.905e-8, -8.899e-8
4.750e+2, -8.102e-8, -8.980e-8
4.760e+2, -7.472e-8, -9.021e-8
4.770e+2, -7.806e-8, -8.890e-8
4.780e+2, -7.204e-8, -8.689e-8
4.790e+2, -7.348e-8, -8.636e-8
4.800e+2, -7.285e-8, -8.575e-8
4.810e+2, -7.416e-8, -8.591e-8
4.820e+2, -7.371e-8, -8.474e-8
4.830e+2, -7.559e-8, -8.289e-8
4.840e+2, -8.523e-8, -8.193e-8
4.850e+2, -6.930e-8, -8.216e-8
4.860e+2, -8.056e-8, -8.165e-8
4.870e+2, -7.063e-8, -8.631e-8
4.880e+2, -7.723e-8, -8.507e-8
4.890e+2, -7.179e-8, -8.547e-8
4.900e+2, -6.920e-8, -8.280e-8
4.910e+2, -7.803e-8, -8.298e-8
4.920e+2, -6.887e-8, -8.226e-8
4.930e+2, -7.616e-8, -8.232e-8
4.940e+2, -6.916e-8, -7.948e-8
4.950e+2, -6.820e-8, -7.791e-8
4.960e+2, -7.216e-8, -7.710e-8
4.970e+2, -6.985e-8, -7.891e-8
4.980e+2, -6.812e-8, -7.726e-8
4.990e+2, -7.263e-8, -7.855e-8
5.000e+2, -6.203e-8, -7.957e-8
5.010e+2, -7.413e-8, -7.777e-8
5.020e+2, -6.716e-8, -7.541e-8
5.030e+2, -6.691e-8, -7.722e-8
5.040e+2, -6.602e-8, -7.670e-8
5.050e+2, -7.053e-8, -7.412e-8
5.060e+2, -7.064e-8, -7.589e-8
5.070e+2, -7.069e-8, -7.600e-8
5.080e+2, -6.725e-8, -7.836e-8
5.090e+2, -6.757e-8, -7.707e-8
5.100e+2, -6.728e-8, -7.811e-8
5.110e+2, -7.005e-8, -7.697e-8
5.120e+2, -7.056e-8, -7.664e-8
5.130e+2, -6.623e-8, -8.321e-8
5.140e+2, -5.248e-8, -7.960e-8
5.150e+2, -6.652e-8, -8.063e-8
5.160e+2, -9.939e-8, -7.643e-8
5.170e+2, -7.020e-8, -7.146e-8
5.180e+2, -6.853e-8, -7.632e-8
5.190e+2, -6.421e-8, -7.553e-8
5.200e+2, -6.357e-8, -6.678e-8
5.210e+2, -1.292e-7, -8.134e-8
5.220e+2, -7.550e-8, -1.059e-7
5.230e+2, -2.082e-8, -7.098e-8
5.240e+2, -6.098e-8, -7.467e-8
5.250e+2, -8.311e-8, -6.840e-8
5.260e+2, -1.121e-7, -8.501e-8
5.270e+2, 4.805e-9, -9.197e-8
5.280e+2, -8.084e-8, -8.896e-8
5.290e+2, -5.610e-8, -8.395e-8
5.300e+2, -6.874e-8, -7.653e-8
5.310e+2, -8.563e-8, -8.368e-8
5.320e+2, -7.136e-8, -8.251e-8
5.330e+2, -7.205e-8, -8.374e-8
5.340e+2, -7.281e-8, -8.297e-8
5.350e+2, -7.115e-8, -7.959e-8
5.360e+2, -6.984e-8, -8.180e-8
5.370e+2, -7.361e-8, -7.983e-8
5.380e+2, -7.114e-8, -7.986e-8
5.390e+2, -7.153e-8, -7.798e-8
5.400e+2, -6.942e-8, -7.756e-8
5.410e+2, -7.220e-8, -7.836e-8
5.420e+2, -7.599e-8, -8.090e-8
5.430e+2, -6.697e-8, -7.814e-8
5.440e+2, -6.655e-8, -7.715e-8
5.450e+2, -7.104e-8, -7.775e-8
5.460e+2, -7.052e-8, -8.061e-8
5.470e+2, -7.216e-8, -7.782e-8
5.480e+2, -7.551e-8, -7.979e-8
5.490e+2, -8.410e-8, -7.710e-8
5.500e+2, -6.999e-8, -7.888e-8
5.510e+2, -7.463e-8, -8.189e-8
5.520e+2, -6.903e-8, -7.958e-8
5.530e+2, -7.449e-8, -8.211e-8
5.540e+2, -7.564e-8, -8.328e-8
5.550e+2, -7.478e-8, -8.302e-8
5.560e+2, -7.020e-8, -8.251e-8
5.570e+2, -6.942e-8, -8.333e-8
5.580e+2, -7.362e-8, -8.289e-8
5.590e+2, -7.315e-8, -8.283e-8
5.600e+2, -7.314e-8, -8.295e-8
5.610e+2, -7.295e-8, -8.301e-8
5.620e+2, -7.193e-8, -8.139e-8
5.630e+2, -7.021e-8, -7.987e-8
5.640e+2, -7.062e-8, -7.934e-8
5.650e+2, -7.004e-8, -7.792e-8
5.660e+2, -6.909e-8, -7.661e-8
5.670e+2, -7.080e-8, -7.801e-8
5.680e+2, -6.843e-8, -7.534e-8
5.690e+2, -6.770e-8, -7.557e-8
